sample,horizon_weeks,phase,industry,observations,sufficient,mean,median,sd,p10,p90,share_positive
revised_long,26,slowdown,Utils,663,True,-0.004691,-0.007792,0.116091,-0.130651,0.139342,0.4615
revised_long,26,slowdown,Shops,663,True,0.002171,0.000214,0.065301,-0.073325,0.07822,0.5023
revised_long,26,slowdown,Hlth,663,True,-0.00632,-0.010351,0.07301,-0.095478,0.085218,0.4449
revised_long,26,slowdown,Money,663,True,0.000952,0.004139,0.089934,-0.113536,0.089709,0.5158
revised_long,26,slowdown,Other,663,True,-0.015716,-0.013125,0.048404,-0.082087,0.037619,0.3695
revised_long,26,contraction,NoDur,162,True,0.032423,0.033491,0.09081,-0.083784,0.135085,0.6235
revised_long,26,contraction,Durbl,162,True,0.155571,0.128324,0.318943,-0.1748,0.646929,0.6481
revised_long,26,contraction,Manuf,162,True,0.017214,0.021036,0.101349,-0.116816,0.173726,0.5741
revised_long,26,contraction,Enrgy,162,True,-0.070373,-0.047969,0.13587,-0.29733,0.07332,0.3333
revised_long,26,contraction,Chems,162,True,0.028765,0.014826,0.072205,-0.054656,0.116799,0.6173
revised_long,26,contraction,BusEq,162,True,0.019861,0.038457,0.106029,-0.150003,0.141497,0.6049
revised_long,26,contraction,Telcm,162,True,-0.062944,-0.063974,0.071803,-0.159314,0.038259,0.179
revised_long,26,contraction,Utils,162,True,-0.037575,-0.023526,0.091315,-0.170928,0.069789,0.3395
revised_long,26,contraction,Shops,162,True,0.059965,0.070553,0.06117,-0.008926,0.121833,0.8765
revised_long,26,contraction,Hlth,162,True,0.004365,0.017334,0.112356,-0.128494,0.15702,0.5123
revised_long,26,contraction,Money,162,True,-0.018932,-0.008101,0.115541,-0.170711,0.093846,0.463
revised_long,26,contraction,Other,162,True,-0.01995,-0.030597,0.053891,-0.078901,0.062748,0.3395
revised_overlap,4,recovery,NoDur,38,True,-0.007004,-0.006754,0.024335,-0.037299,0.021317,0.3684
revised_overlap,4,recovery,Durbl,38,True,0.054862,0.033919,0.112743,-0.071949,0.216586,0.6316
revised_overlap,4,recovery,Manuf,38,True,0.013095,0.008416,0.027461,-0.02048,0.052375,0.6053
revised_overlap,4,recovery,Enrgy,38,True,0.014612,-0.009711,0.124414,-0.115026,0.211051,0.4474
revised_overlap,4,recovery,Chems,38,True,-0.007193,-0.006413,0.029233,-0.042931,0.032311,0.3947
revised_overlap,4,recovery,BusEq,38,True,0.000445,0.005413,0.026017,-0.032547,0.036538,0.5526
revised_overlap,4,recovery,Telcm,38,True,-0.005412,-0.00706,0.039272,-0.054811,0.046489,0.4211
revised_overlap,4,recovery,Utils,38,True,-0.016219,-0.009872,0.042987,-0.073596,0.034386,0.3947
revised_overlap,4,recovery,Shops,38,True,-0.007929,-0.005769,0.02452,-0.039732,0.024136,0.4211
revised_overlap,4,recovery,Hlth,38,True,-0.015715,-0.018221,0.024495,-0.042128,0.016622,0.2895
revised_overlap,4,recovery,Money,38,True,0.010925,-0.002929,0.040826,-0.027043,0.073953,0.4737
revised_overlap,4,recovery,Other,38,True,0.010496,0.012677,0.019443,-0.010518,0.034589,0.6316
revised_overlap,4,expansion,NoDur,263,True,-0.000615,-0.002917,0.033283,-0.035739,0.034954,0.4639
revised_overlap,4,expansion,Durbl,263,True,-0.017101,-0.010943,0.056767,-0.091344,0.03968,0.365
revised_overlap,4,expansion,Manuf,263,True,0.00249,0.000723,0.025548,-0.024203,0.024687,0.5285
revised_overlap,4,expansion,Enrgy,263,True,-0.005102,-0.012412,0.064372,-0.07162,0.073089,0.3954
revised_overlap,4,expansion,Chems,263,True,-0.003647,-0.003042,0.027651,-0.03503,0.028524,0.4411
revised_overlap,4,expansion,BusEq,263,True,0.005109,0.004284,0.023978,-0.024434,0.030562,0.6046
revised_overlap,4,expansion,Telcm,263,True,-0.004995,-0.006029,0.033745,-0.040038,0.034159,0.403
revised_overlap,4,expansion,Utils,263,True,-0.003655,-0.004067,0.039982,-0.049714,0.045612,0.4487
revised_overlap,4,expansion,Shops,263,True,-0.002066,-0.001042,0.021851,-0.029418,0.025153,0.4563
revised_overlap,4,expansion,Hlth,263,True,0.002522,0.003742,0.029848,-0.031012,0.036636,0.5665
revised_overlap,4,expansion,Money,263,True,0.002146,0.00312,0.028562,-0.029312,0.03579,0.5399
revised_overlap,4,expansion,Other,263,True,-0.003132,-0.002571,0.019172,-0.025836,0.01938,0.384
revised_overlap,4,slowdown,NoDur,349,True,-0.006967,-0.009933,0.032461,-0.043895,0.031173,0.3926
revised_overlap,4,slowdown,Durbl,349,True,0.011932,-0.00101,0.084223,-0.062013,0.111713,0.4842
revised_overlap,4,slowdown,Manuf,349,True,-0.000248,-0.000175,0.024114,-0.031064,0.026288,0.4986
revised_overlap,4,slowdown,Enrgy,349,True,-0.001514,-0.008937,0.059542,-0.066875,0.076655,0.4327
revised_overlap,4,slowdown,Chems,349,True,-0.005954,-0.007108,0.028683,-0.039126,0.02609,0.384
