sample,horizon_weeks,phase,industry,weeks,observations,mean,effect_versus_all_weeks,p_value,bh_rank,survives_bh,survives_bonferroni
revised_overlap,26,recovery,Other,38,38,0.0312,0.042288,0.1621,14.0,False,False
revised_overlap,26,expansion,NoDur,268,250,-0.021757,0.009699,0.4505,27.0,False,False
revised_overlap,26,expansion,Durbl,268,250,-0.023928,-0.059589,0.1502,12.0,False,False
revised_overlap,26,expansion,Manuf,268,250,0.001155,-0.000516,0.9761,47.0,False,False
revised_overlap,26,expansion,Enrgy,268,250,-0.004583,0.018822,0.8072,42.0,False,False
revised_overlap,26,expansion,Chems,268,250,-0.02144,0.012987,0.1894,15.0,False,False
revised_overlap,26,expansion,BusEq,268,250,0.028961,-0.005877,0.4642,29.0,False,False
revised_overlap,26,expansion,Telcm,268,250,-0.03788,0.000921,0.9334,46.0,False,False
revised_overlap,26,expansion,Utils,268,250,-0.001591,0.016422,0.3174,21.0,False,False
revised_overlap,26,expansion,Shops,268,250,-0.000216,-0.001452,0.8925,44.0,False,False
revised_overlap,26,expansion,Hlth,268,250,0.011769,0.025369,0.0017,1.0,True,False
revised_overlap,26,expansion,Money,268,250,0.002854,0.006036,0.4505,28.0,False,False
revised_overlap,26,expansion,Other,268,250,-0.015074,-0.003986,0.4949,30.0,False,False
revised_overlap,26,slowdown,NoDur,354,340,-0.031302,0.000154,1.0,48.0,False,False
revised_overlap,26,slowdown,Durbl,354,340,0.010195,-0.025466,0.3737,23.0,False,False
revised_overlap,26,slowdown,Manuf,354,340,-0.002274,-0.003945,0.7167,40.0,False,False
revised_overlap,26,slowdown,Enrgy,354,340,-0.038542,-0.015137,0.727,41.0,False,False
revised_overlap,26,slowdown,Chems,354,340,-0.041537,-0.00711,0.3106,20.0,False,False
revised_overlap,26,slowdown,BusEq,354,340,0.037071,0.002233,0.6962,39.0,False,False
revised_overlap,26,slowdown,Telcm,354,340,-0.033456,0.005345,0.5717,34.0,False,False
